epoch,nt_xent_loss
1,7.4730724826935795
2,4.954210727445541
3,4.443854578079716
4,4.189523950699837
5,3.6616615095446186
6,3.3449138210665796
7,3.1500466485177316
8,3.069347943029096
9,3.0611707548941336
10,2.876955663004229
11,2.724935793107556
12,2.582577059345861
13,2.4898345701156126
14,2.429706088958248
15,2.4051686179253364
16,2.443384055168398
17,2.45148790267206
18,2.391712204102547
19,2.2547779698525705
20,2.1802637461693055
21,2.152520687349381
22,2.1084007678493375
23,2.062414311593579
24,2.031180235647386
25,2.0255246123959942
26,2.011066359858359
27,2.092535076602813
28,2.1175453047598563
29,2.077694050727352
30,2.045718939073624
31,2.013079639404051
32,1.9696489418706586
33,1.935247044409475
34,1.913339526422562
35,1.8664919830137683
36,1.8527840683537145
37,1.8335045153094875
38,1.7951042152220202
39,1.801495578981215
40,1.7807963817350325
41,1.7681122056899532
42,1.7697661499823294
43,1.7754344978640157
44,1.848415228628343
45,1.8493129630242624
46,1.8482809797410042
47,1.8480022338128859
48,1.83831549075342
49,1.7771584410821237
50,1.7269981676532375
51,1.7321864020439885
52,1.7362168104417863
53,1.7102973653424172
54,1.6766182722583893
55,1.6585049936848302
56,1.6432992335288756
57,1.6343265887229674
58,1.6010287884742982
59,1.6094491212598738
60,1.5765262611450688
61,1.5761606462540165
62,1.5487743116194201
63,1.5514636655007639
64,1.550931699814335
65,1.5412689024402249
66,1.541887633262142
67,1.5450813539566532
68,1.5948231027972313
69,1.6149072685549337
70,1.6147970614894744
71,1.6176914553488455
72,1.5845064001698648
73,1.5914794014346214
74,1.5558731402120283
75,1.5197383588360203
76,1.536730574023339
77,1.548683201113055
78,1.5388096840150896
79,1.5314470644920104
80,1.4897229171568347
81,1.47094948445597
82,1.4688313430355442
83,1.4433348025045087
84,1.4269240171678605
85,1.4047595877801218
86,1.3814764791919338
87,1.388228985571092
88,1.3789798867317937
89,1.3386430586538007
90,1.340929123663133
91,1.3078104219129008
92,1.3152053856080579
93,1.3161131528116041
94,1.2978957276190481
95,1.2902668868341753
96,1.266783848885567
97,1.285557496932245
98,1.2762280433408675
99,1.2626002373233918
100,1.2740476592894523
101,1.2587541687873103
102,1.2757797587302424
103,1.2529767751693726
104,1.2701271887748473
105,1.3431818985169934
106,1.4037622328727477
107,1.3913305805575462
108,1.419178101324266
109,1.4064058526869743
110,1.382818345100649
111,1.3717296200413858
112,1.368418981952052
113,1.3563701914202781
114,1.3570655968881422
115,1.3562607688288535
116,1.328309336016255
117,1.320253426028836
118,1.316479371440026
119,1.29996237831731
120,1.300140638505259
121,1.280204672967234
122,1.2857033168115923
123,1.2813011715489049
124,1.2589293564519575
125,1.2537417796350294
126,1.2542139099490257
127,1.2292036817919823
128,1.2308953077562395
129,1.2174498150425572
130,1.199215127575782
131,1.1889106688960906
132,1.162062818004239
133,1.157958980529539
134,1.1505348528585126
135,1.1533711302664973
136,1.1134643804642461
137,1.1488071410886702
138,1.1285887956619263
139,1.1220444113977495
140,1.119584902640312
141,1.100507503555667
142,1.1194115146513908
143,1.104625888409153
144,1.0975949533524052
145,1.1053429976586373
146,1.08279775996362
147,1.095296448276889
148,1.095073897992411
149,1.0796905102268342
150,1.0821957126740487
151,1.0701229860705714
152,1.0680394884078734
153,1.0828072909385926
154,1.0659671579637835
155,1.07823258830655
156,1.0750504789813873
157,1.063128242569585
158,1.0742467641830444
159,1.0678646699074776
160,1.156576325816493
161,1.2044222470252746
162,1.2093556657914193
163,1.2061590994558027
164,1.1906957780161211
165,1.182279602173836
166,1.1768507496003182
167,1.213770462620643
168,1.1943493273950392
169,1.2121066008844683
170,1.2028136407175372
171,1.1875318557985368
172,1.1715658018665929
173,1.1743608982332292
174,1.1714280613007084
175,1.1615990746405818
176,1.1524240163064772
177,1.128536758884307
178,1.1391458280624882
179,1.1279659559649806
180,1.1267925000959826
181,1.117943702205535
182,1.1177072698070156
183,1.1338373557213814
184,1.1031143165403796
185,1.1313762261021523
186,1.1229591984902658
187,1.120940468003673
188,1.1003551444699686
189,1.1011195663482911
190,1.117224420270612
191,1.0931252452634996
192,1.0819856274512507
193,1.0931524884316228
194,1.0876548809389914
195,1.0691825401398443
196,1.0780440280514378
197,1.0499788445811118
198,1.0674517962240404
199,1.0499198263691318
200,1.0495930929337778
201,1.0324853120311615
202,1.0282237106753933
203,1.0343109811505964
204,1.0128327127425902
205,1.011173382882149
206,1.0214407482454855
207,1.0196057846469264
208,0.9958221835474814
209,0.9958625070510372
210,1.0179636478424072
211,1.0055010895575247
212,0.9919624155567538
213,0.9893491941113626
214,0.997510846584074
215,1.0000825985785453
216,0.9706372926312108
217,0.9722665279142318
218,0.9830192481317828
219,0.9806813636133748
220,0.9628685943541988
221,0.9583251110969051
222,0.9566159536761623
223,0.9598966971520455
224,0.9489740133285522
225,0.9550395281084122
226,0.9459691470669161
227,0.951869212811993
228,0.9435055409708331
229,0.9405517501215781
230,0.9511366063548673
231,0.9327647032276276
232,0.9535768570438508
233,0.9425458908081055
234,0.953012066502725
235,0.9431970119476318
236,0.9390885676107099
237,0.9525134717264483
238,0.9343792623089205
239,0.937854645713683
240,0.9536271768231546
241,0.9576260985866669
242,0.9526136786706986
243,1.0250127450112374
244,1.0367483708166307
245,1.053851317974829
246,1.066163343767966
247,1.0648684520875253
248,1.0550459950200972
249,1.062533478583059
250,1.0697498090805546
251,1.0612879241666486
252,1.037224413887147
253,1.0245345619417006
254,1.0537290130892107
255,1.0434285613798326
256,1.0363773953530095
257,1.039983170647775
258,1.0535367285051653
259,1.0347794582766872
260,1.0433807276910352
261,1.0034642930953734
262,1.0174708500985177
263,0.9913731409657386
264,1.003557191741082
265,0.9962965019287602
266,0.9699229482681521
267,0.974623599360066
268,0.9822045583878795
269,0.9939029351357491
270,0.9915265133303981
271,0.9807685229086107
272,0.9855995082086132
273,0.993147651995382
274,0.9724625695136285
275,0.9794545462054591
276,0.9394448207270715
277,0.9410520868916665
278,0.9412239386189368
279,0.9516378794946978
280,0.9322631685964523
281,0.9359625481790111
282,0.9298871024962394
283,0.94313427517491
284,0.9354104495817616
285,0.9256632827943371
286,0.9145917777092226
287,0.9292477215490034
288,0.9084949512635508
289,0.9156869015386028
290,0.9090491437142895
291,0.9111830534473542
292,0.9000223471272376
293,0.9059585025233607
294,0.9014527240107136
295,0.9173347603890204
296,0.9059345030015514
297,0.881129841650686
298,0.9062829805958655
299,0.896003948103997
300,0.8801715681629796
301,0.8862720208783303
302,0.8761857863395445
303,0.8629336530162443
304,0.8821448203056089
305,0.8575620228244413
306,0.858479582494305
307,0.8588568837411942
308,0.8621552490418957
309,0.8637995873728106
310,0.8494261714719957
311,0.8672956670484235
312,0.8432813555963578
313,0.8369636266462265
314,0.8463716083957303
315,0.8481652371345028
316,0.8348690771287487
317,0.8514200871990573
318,0.8323221091301211
319,0.8182143665129139
320,0.81710288986083
321,0.8230332405336441
322,0.8269663395420197
323,0.8194347120100453
324,0.8124364979805485
325,0.8208150036873356
326,0.8248957434008198
327,0.8214689935407331
328,0.8025668705663374
329,0.8111210177021642
330,0.7968418059810516
331,0.8013797306245373
332,0.7992929797018727
333,0.8115292691415356
334,0.7911502065197114
335,0.79292247949108
336,0.8060288179305292
337,0.7875307683021792
338,0.7937349388676305
339,0.7974006764350399
340,0.8008262188203873
341,0.7889490185245391
342,0.8017322209573561
343,0.7846889918850314
344,0.7795614984727675
345,0.780349696836164
346,0.7894380150302764
347,0.7785124432656073
348,0.7836815195698892
349,0.7778562115084741
350,0.7824104409064015
351,0.7716684476021798
352,0.7841316749972682
353,0.7810357078429191
354,0.7674325089300832
355,0.7691205509247319
356,0.7850652644711156
357,0.7840466518555919
358,0.7632781247938832
359,0.7868283698635716
360,0.7802692882476314
361,0.7802429295355274
362,0.7764166151323626
363,0.7909126493238634
364,0.792303608309838
365,0.7894209661791401
366,0.7846249130464369
367,0.8777653882580418
368,0.9068753680875224
369,0.9046864586491739
370,0.9122334795613443
371,0.9201125483359059
372,0.9337487201536855
373,0.9545891977125599
374,0.9480618469176754
375,0.9407904071192588
376,0.9501153711349734
377,0.9543518001033414
378,0.9239279762391122
379,0.9094493408356944
380,0.9278379524907758
381,0.9516896586264333
382,0.961714796481594
383,0.9573063773493613
384,0.9346667585834381
385,0.9894365610614899
386,1.0031993043038152
387,0.9803082962189952
388,0.9893777274316357
389,1.005850330475838
390,1.0022793162253596
391,0.9834869215565343
392,1.0177087495403905
393,0.9688555194485572
394,0.9655439834440908
395,0.9738926079965406
396,0.9553950217462355
397,0.9527623884139522
398,0.928501638673967
399,0.9093031748648612
400,0.9299941178291075
